Check/Payment Date,Dept. Descrptn,Vendor Name,Commitmt Item Name,Invoice Net Amt
11/9/2020,Office of Arts and Culture,"RIOS, EMILY ANNA",Emergency Assistance,"1,500.00"
11/2/2020,Public Works,1-800 RADIATOR,Inventories-Offline,91.23
11/2/2020,Public Works,1-800 RADIATOR,Inventories-Offline,0.25
11/2/2020,Public Works,1-800 RADIATOR,Inventories-Offline,91.23
11/2/2020,Public Works,1-800 RADIATOR,Inventories-Offline,0.25
11/5/2020,Public Works,1-800 RADIATOR,Inventories-Offline,584.82
11/5/2020,Public Works,1-800 RADIATOR,Inventories-Offline,1.62
11/6/2020,Public Works,1-800 RADIATOR,Inventories-Offline,90.97
11/6/2020,Public Works,1-800 RADIATOR,Inventories-Offline,0.51
11/17/2020,Public Works,1-800 RADIATOR,Inventories-Offline,389.88
11/17/2020,Public Works,1-800 RADIATOR,Inventories-Offline,1.08
11/12/2020,Community and Economic Development,19NORTH ALLIANCE,Sponsorships,"8,000.00"
11/4/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,117.60
11/4/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,223.20
11/4/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,387.20
11/4/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,484.00
11/4/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,387.20
11/4/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,339.20
11/4/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,305.60
11/4/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,290.40
11/4/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,24.80
11/4/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,257.60
11/4/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,206.40
11/4/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,68.00
11/4/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,307.20
11/4/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,179.20
11/4/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,74.40
11/4/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,74.40
11/5/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,233.60
11/6/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,177.60
11/18/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,-32.15
11/18/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,32.15
11/18/2020,Police,1ST PET VETERINARY CENTERS,Veterinary Services,208.95
11/20/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"15,977.28"
11/20/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"5,808.00"
11/20/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"12,458.88"
11/20/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"14,198.40"
11/20/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"13,708.80"
11/20/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"8,772.00"
11/20/2020,Aviation,22ND CENTURY TECHNOLOGIES INC,Tech Supp Maint/Rep,"15,624.00"
11/12/2020,Public Defender,3 LAWS OF MOTION COLLISION RECONSTR,Cons/Other Prof Svcs,862.50
11/12/2020,Public Defender,3 LAWS OF MOTION COLLISION RECONSTR,Cons/Other Prof Svcs,"1,012.50"
11/6/2020,Street Transportation,3M COMPANY,Inventories,-6.32
11/6/2020,Street Transportation,3M COMPANY,Inventories,982.28
11/9/2020,Aviation,3M COMPANY,Inventories,-7.14
11/9/2020,Aviation,3M COMPANY,Inventories,"1,107.72"
11/20/2020,Street Transportation,3M COMPANY,Inventories,-71.4
11/20/2020,Street Transportation,3M COMPANY,Inventories,"11,077.20"
11/20/2020,Street Transportation,3M COMPANY,Inventories,-112.9
11/20/2020,Street Transportation,3M COMPANY,Inventories,"17,515.01"
11/20/2020,Street Transportation,3M COMPANY,Inventories,"17,515.01"
11/20/2020,Street Transportation,3M COMPANY,Inventories,-112.9
11/2/2020,Human Services,911 INTERPRETERS INC,Interpreters/Transl,81.64
11/2/2020,Human Services,911 INTERPRETERS INC,Interpreters/Transl,56.16
11/2/2020,Housing,911 INTERPRETERS INC,Interpreters/Transl,12.48
11/2/2020,Housing,911 INTERPRETERS INC,Interpreters/Transl,16.64
11/2/2020,Housing,911 INTERPRETERS INC,Interpreters/Transl,105.56
11/2/2020,Housing,911 INTERPRETERS INC,Interpreters/Transl,17.16
11/2/2020,Housing,911 INTERPRETERS INC,Interpreters/Transl,33.80
11/2/2020,Housing,911 INTERPRETERS INC,Interpreters/Transl,131.56
11/2/2020,Housing,911 INTERPRETERS INC,Interpreters/Transl,9.88
11/2/2020,Housing,911 INTERPRETERS INC,Interpreters/Transl,18.72
11/30/2020,Human Services,911 INTERPRETERS INC,Interpreters/Transl,24.96
11/30/2020,Human Services,911 INTERPRETERS INC,Interpreters/Transl,24.44
11/30/2020,Housing,911 INTERPRETERS INC,Interpreters/Transl,11.96
11/30/2020,Housing,911 INTERPRETERS INC,Interpreters/Transl,12.48
11/30/2020,Housing,911 INTERPRETERS INC,Interpreters/Transl,36.92
11/30/2020,Housing,911 INTERPRETERS INC,Interpreters/Transl,15.60
11/30/2020,Housing,911 INTERPRETERS INC,Interpreters/Transl,4.68
11/30/2020,Housing,911 INTERPRETERS INC,Interpreters/Transl,128.44
11/30/2020,Housing,911 INTERPRETERS INC,Interpreters/Transl,17.16
11/2/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,80.21
11/2/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,80.21
11/10/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,12.67
11/10/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,214.85
11/10/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,0.01
11/10/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,17.59
11/10/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,13.99
11/10/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,37.41
11/10/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,71.47
11/10/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,214.85
11/10/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Mat to Maint Infr/Eq,0.01
11/12/2020,Aviation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,705.85
11/20/2020,Parks and Recreation,A & G TURF EQUIPMENT INC,Small Tools/ Equip,178.26
11/2/2020,Public Works,A & H PAINTING,Painting Services,420.00
11/2/2020,Public Works,A & H PAINTING,Painting Services,625.00
11/2/2020,Public Works,A & H PAINTING,Painting Services,325.00
11/2/2020,Public Works,A & H PAINTING,Painting Services,840.00
11/2/2020,Public Works,A & H PAINTING,Painting Services,128.50
11/2/2020,Public Works,A & H PAINTING,Painting Services,321.25
11/2/2020,Public Works,A & H PAINTING,Painting Services,"2,315.00"
11/2/2020,Public Works,A & H PAINTING,Painting Services,"13,300.00"
11/2/2020,Public Works,A & H PAINTING,Painting Services,900.00
11/2/2020,Public Works,A & H PAINTING,Painting Services,"15,400.00"
11/4/2020,Housing,A & H PAINTING,Painting Services,54.00
11/4/2020,Housing,A & H PAINTING,Painting Services,"2,235.20"
11/4/2020,Housing,A & H PAINTING,Painting Services,385.00
11/4/2020,Housing,A & H PAINTING,Painting Services,55.00
11/4/2020,Housing,A & H PAINTING,Painting Services,125.50
11/4/2020,Housing,A & H PAINTING,Painting Services,60.00
11/4/2020,Housing,A & H PAINTING,Painting Services,9.00
11/4/2020,Housing,A & H PAINTING,Painting Services,630.00
11/4/2020,Housing,A & H PAINTING,Painting Services,406.40
11/4/2020,Housing,A & H PAINTING,Painting Services,174.00
11/4/2020,Housing,A & H PAINTING,Painting Services,522.00
11/4/2020,Housing,A & H PAINTING,Painting Services,351.20
11/4/2020,Housing,A & H PAINTING,Painting Services,164.50
11/4/2020,Housing,A & H PAINTING,Painting Services,987.00
11/4/2020,Housing,A & H PAINTING,Painting Services,"1,931.60"
11/4/2020,Housing,A & H PAINTING,Painting Services,48.00
11/4/2020,Housing,A & H PAINTING,Painting Services,560.00
11/4/2020,Housing,A & H PAINTING,Painting Services,9.00
11/4/2020,Housing,A & H PAINTING,Painting Services,60.00
11/4/2020,Housing,A & H PAINTING,Painting Services,109.75
11/4/2020,Housing,A & H PAINTING,Painting Services,40.00
11/4/2020,Housing,A & H PAINTING,Painting Services,280.00
11/4/2020,Housing,A & H PAINTING,Painting Services,750.00
11/9/2020,Public Works,A & H PAINTING,Painting Services,"2,345.00"
11/9/2020,Public Works,A & H PAINTING,Painting Services,480.20
11/10/2020,Housing,A & H PAINTING,Painting Services,100.00
11/10/2020,Housing,A & H PAINTING,Painting Services,"1,002.40"
11/10/2020,Housing,A & H PAINTING,Painting Services,264.60
11/10/2020,Housing,A & H PAINTING,Painting Services,7.85
11/10/2020,Housing,A & H PAINTING,Painting Services,92.40
11/10/2020,Housing,A & H PAINTING,Painting Services,7.85
11/10/2020,Housing,A & H PAINTING,Painting Services,47.10
11/10/2020,Housing,A & H PAINTING,Painting Services,35.00
11/10/2020,Housing,A & H PAINTING,Painting Services,245.00
11/10/2020,Housing,A & H PAINTING,Painting Services,9.00
11/10/2020,Housing,A & H PAINTING,Painting Services,60.00
11/16/2020,Municipal Court,A FOREIGN LANGUAGE SERVICE CORP,Interpreters/Transl,70.00
11/9/2020,Human Services,A NEW LEAF INC,Spec Contractual Svc,"4,123.99"
11/2/2020,Water Services,A TO Z EQUIPMENT RENTALS & SALES,Mat to Main Mobil Eq,99.07
11/2/2020,Water Services,A TO Z EQUIPMENT RENTALS & SALES,Mat to Main Mobil Eq,0.73
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Machinery/Equip Rent,603.68
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Machinery/Equip Rent,4.48
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,315.86
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,-0.53
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,3.69
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,504.67
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,0.43
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,58.19
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,0.23
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,29.66
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,4.22
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,569.17
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,1.60
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,215.33
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,0.38
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,51.64
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,0.39
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,51.64
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,0.08
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,12.24
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,1.50
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,201.70
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,14.72
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,"1,983.44"
11/2/2020,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,19.21
11/2/2020,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,0.14
11/2/2020,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,2.05
11/2/2020,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,0.01
11/2/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,666.21
11/2/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,4.94
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,1.31
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,173.58
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,1.71
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,232.07
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,0.32
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,57.35
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,4.61
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,620.90
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,4.22
11/2/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,569.17
11/4/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Repair,600.00
11/4/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Repair,277.52
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,58.82
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,0.43
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,53.71
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,0.39
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,55.41
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,0.41
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,0.25
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,33.87
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,0.10
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,13.36
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,58.82
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,0.43
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,188.89
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,1.41
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,145.47
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,1.10
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Agricult/Hort Supply,161.59
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Agricult/Hort Supply,1.15
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Agricult/Hort Supply,57.35
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Agricult/Hort Supply,0.32
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,351.86
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,2.62
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,88.23
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,0.67
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,51.64
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,0.39
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,51.64
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,0.39
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,334.72
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,2.48
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,36.82
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,0.27
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,73.63
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,0.54
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,28.13
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,0.23
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,161.38
11/9/2020,Parks and Recreation,A TO Z EQUIPMENT RENTALS & SALES,Mat to Maint Infr/Eq,1.16
11/12/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,299.16
11/12/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,3.95
11/12/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,20.00
11/16/2020,Water Services,A TO Z EQUIPMENT RENTALS & SALES,Mat to Main Mobil Eq,52.74
11/16/2020,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,315.86
11/16/2020,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,2.34
11/16/2020,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,607.99
11/16/2020,Aviation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,4.51
11/20/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,34.29
11/20/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,0.26
11/20/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,56.47
11/20/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,0.41
11/20/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,150.92
11/20/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,1.12
11/30/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,82.47
11/30/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Inventories-Offline,0.61
11/30/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,35.86
11/30/2020,Public Works,A TO Z EQUIPMENT RENTALS & SALES,Small Tools/ Equip,0.28
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,728.94
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,5.38
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,0.40
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,52.18
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,1.33
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,181.54
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,0.21
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,31.70
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,9.00
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,"1,212.16"
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,4.80
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,637.74
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,4.17
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,566.09
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,2.76
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,368.46
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,1.24
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,160.62
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,0.94
11/30/2020,Street Transportation,A TO Z EQUIPMENT RENTALS & SALES,Motor Vehicle Parts,134.53
11/5/2020,Public Works,A-GAS US INC,Safety/Environ Costs,"1,590.00"
11/6/2020,Public Works,A-GAS US INC,Safety/Environ Costs,"1,140.00"
11/9/2020,Public Works,A-GAS US INC,Safety/Environ Costs,435.00
11/17/2020,Public Works,A-GAS US INC,Safety/Environ Costs,690.00
