Check/Payment Date,Dept. Descrptn,Vendor Name,Commitmt Item Name,Invoice Net Amt
12/22/2020,Human Services,ARIZONA FOOD BANK NETWORK,Spec Contractual Svc,"300,000.00"
12/30/2020,Police,SCANNA MSC INC,Police Equipment,"2,805.40"
12/30/2020,Police,SCANNA MSC INC,Police Equipment,"1,186.90"
12/30/2020,Police,SCANNA MSC INC,Police Equipment,105.22
12/30/2020,Police,SCANNA MSC INC,Police Equipment,"3,382.88"
12/30/2020,Police,SCANNA MSC INC,All Other Equipment,"22,729.34"
12/28/2020,Fire,1 STOP ELECTRONICS CENTER INC,Inventories,"2,680.23"
12/8/2020,Public Works,1-800 RADIATOR,Inventories-Offline,80.14
12/8/2020,Public Works,1-800 RADIATOR,Inventories-Offline,0.22
12/8/2020,Public Works,1-800 RADIATOR,Inventories-Offline,116.20
12/8/2020,Public Works,1-800 RADIATOR,Inventories-Offline,0.32
12/8/2020,Public Works,1-800 RADIATOR,Inventories-Offline,105.05
12/8/2020,Public Works,1-800 RADIATOR,Inventories-Offline,0.29
12/8/2020,Public Works,1-800 RADIATOR,Inventories-Offline,168.09
12/8/2020,Public Works,1-800 RADIATOR,Inventories-Offline,0.47
12/8/2020,Public Works,1-800 RADIATOR,Inventories-Offline,99.60
12/8/2020,Public Works,1-800 RADIATOR,Inventories-Offline,0.28
12/8/2020,Public Works,1-800 RADIATOR,Inventories-Offline,171.12
12/8/2020,Public Works,1-800 RADIATOR,Inventories-Offline,0.47
12/8/2020,Public Works,1-800 RADIATOR,Inventories-Offline,133.21
12/8/2020,Public Works,1-800 RADIATOR,Inventories-Offline,0.37
12/8/2020,Public Works,1-800 RADIATOR,Inventories-Offline,173.28
12/8/2020,Public Works,1-800 RADIATOR,Inventories-Offline,0.48
12/8/2020,Public Works,1-800 RADIATOR,Inventories-Offline,152.71
12/8/2020,Public Works,1-800 RADIATOR,Inventories-Offline,0.42
12/9/2020,Public Works,1-800 RADIATOR,Inventories-Offline,173.28
12/9/2020,Public Works,1-800 RADIATOR,Inventories-Offline,0.48
12/14/2020,Public Works,1-800 RADIATOR,Inventories-Offline,121.29
12/14/2020,Public Works,1-800 RADIATOR,Inventories-Offline,0.62
12/14/2020,Public Works,1-800 RADIATOR,Inventories-Offline,174.47
